sample_id,sample_id_old,qpcr_sample_id,collect_site,frog_id,site,species,sample_status,extract_plate_id,extract_date,extract_lab,extract_tech,extract_loc,extract_well_pos,extract_neg_cont,extract_bd_pos_cont,qpcr_plate_id,qpcr_date,qpcr_file_name,qpcr_lab,qpcr_tech,qpcr_well_pos,qpcr_diluted,qpcr_neg_cont,sample_quality,sample_ipc,sample_rerun,sample_bd,sample_bd_ct,sample_bd_qty,sample_bd_swab_qty,sample_bsal,sample_bsal_ct,sample_bsal_qty,sample_bsal_swab_qty,notes,temp_pcr_id
170709-NM-NM,170709-01-NM,170709 sev-01,NV,170709-01,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,C7,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,C7,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,2542
170709-NM-NM,170709-02-NM,170709 sev-02,NV,170709-02,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,C8,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,C8,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,2542
171006-10-NM-NM,171006-2010-NM,171006 201.0,NV,171006-2010,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,C11,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,C11,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4372
171006-10-NM-NM,171006-2110-NM,171006 211.0,NV,171006-2110,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,A8,negative,positive,SERDP_56_122017,2017-12-20T00:00:00Z,SERDP_56_122017,RZ lab,DPW,D8,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4372
171006-12-NM-NM,171006-2012-NM,171006 201.2,NV,171006-2012,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,D1,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,D1,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4374
171006-12-NM-NM,171006-2112-NM,171006 211.2,NV,171006-2112,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,A9,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,A9,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4374
171006-13-NM-NM,171006-2013-NM,171006 201.3,NV,171006-2013,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,D2,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,D2,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4375
171006-13-NM-NM,171006-2113-NM,171006 211.3,NV,171006-2113,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,A10,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,A10,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4375
171006-14-NM-NM,171006-2014-NM,171006 201.4,NV,171006-2014,NA,NA,Complete,DPW_113017_SERDP_40,2017-11-30T00:00:00Z,RZ lab,DPW,Pitt -80,D3,negative,positive,SERDP_49_121517,2017-12-15T00:00:00Z,SERDP_49_121517,RZ lab,DPW,D3,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4376
171006-14-NM-NM,171006-2114-NM,171006 211.4,NV,171006-2114,NA,NA,Complete,DPW_120417_SERDP_41,2017-12-04T00:00:00Z,RZ lab,DPW,Pitt -80,A11,negative,positive,SERDP_50_121517,2017-12-15T00:00:00Z,SERDP_50_121517,RZ lab,DPW,A11,no,negative,pass,pass,no,negative,NA,NA,NA,negative,NA,NA,NA,NA,4376
